"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"8450";"A042110";"2018KW01";"    99.2";"    -0.3";"     2.1"
"8451";"A042110";"2018KW02";"   101.2";"     2.0";"     3.3"
"8452";"A042110";"2018KW03";"   101.9";"     0.7";"     2.8"
"8453";"A042110";"2018KW04";"   102.4";"     0.5";"     2.9"
"8454";"A042110";"2018JJ00";"   101.2";"";"     2.8"
"8455";"A042110";"2019KW01";"   100.3";"    -2.1";"     1.1"
"8456";"A042110";"2019KW02";"   102.1";"     1.8";"     0.8"
"8457";"A042110";"2019KW03";"   102.4";"     0.3";"     0.4"
"8458";"A042110";"2019KW04";"   103.8";"     1.4";"     1.3"
"8459";"A042110";"2019JJ00";"   102.1";"";"     0.9"
"8460";"A042110";"2020KW01";"   103.9";"     0.1";"     3.6"
"8461";"A042110";"2020KW02";"   104.1";"     0.3";"     2.0"
"8462";"A042110";"2020KW03";"   105.2";"     1.1";"     2.8"
"8463";"A042110";"2020KW04";"   107.3";"     2.0";"     3.4"
"8464";"A042110";"2020JJ00";"   105.1";"";"     2.9"
"8465";"A042110";"2021KW01";"   106.0";"    -1.2";"     2.1"
"8466";"A042110";"2021KW02";"   108.6";"     2.5";"     4.3"
"8467";"A042110";"2021KW03";"   108.6";"     0.0";"     3.2"
"8468";"A042110";"2021KW04";"   110.2";"     1.4";"     2.7"
"8469";"A042110";"2021JJ00";"   108.4";"";"     3.1"
"8470";"A042110";"2022KW01";"   112.1";"     1.7";"     5.7"
"8471";"A042110";"2022KW02";"   113.8";"     1.6";"     4.8"
"8472";"A042110";"2022KW03";"   114.6";"     0.7";"     5.5"
"8473";"A042110";"2022KW04";"   117.0";"     2.1";"     6.2"
"8474";"A042110";"2022JJ00";"   114.4";"";"     5.5"
"8475";"A042110";"2023KW01";"   120.2";"     2.7";"     7.3"
"8476";"A042110";"2023KW02";"   121.3";"     0.9";"     6.5"
"8477";"A042110";"2023KW03";"   121.0";"    -0.2";"     5.6"
"8478";"A042110";"2023KW04";"   122.6";"     1.3";"     4.7"
"8479";"A042110";"2023JJ00";"   121.3";"";"     6.0"
"8480";"A042111";"2002KW04";"";"";""
"8481";"A042111";"2003KW01";"";"";""
"8482";"A042111";"2003KW02";"";"";""
"8483";"A042111";"2003KW03";"";"";""
"8484";"A042111";"2003KW04";"";"";""
"8485";"A042111";"2003JJ00";"";"";""
"8486";"A042111";"2004KW01";"";"";""
"8487";"A042111";"2004KW02";"";"";""
"8488";"A042111";"2004KW03";"";"";""
"8489";"A042111";"2004KW04";"";"";""
"8490";"A042111";"2004JJ00";"";"";""
"8491";"A042111";"2005KW01";"";"";""
"8492";"A042111";"2005KW02";"";"";""
"8493";"A042111";"2005KW03";"";"";""
"8494";"A042111";"2005KW04";"";"";""
"8495";"A042111";"2005JJ00";"";"";""
"8496";"A042111";"2006KW01";"    99.0";"";""
"8497";"A042111";"2006KW02";"    99.8";"     0.8";""
"8498";"A042111";"2006KW03";"   101.0";"     1.2";""
"8499";"A042111";"2006KW04";"   101.3";"     0.2";""
"8500";"A042111";"2006JJ00";"   100.3";"";""
"8501";"A042111";"2007KW01";"   101.3";"     0.0";"     2.3"
"8502";"A042111";"2007KW02";"   105.0";"     3.6";"     5.2"
"8503";"A042111";"2007KW03";"   107.8";"     2.7";"     6.7"
"8504";"A042111";"2007KW04";"   103.6";"    -3.9";"     2.3"
"8505";"A042111";"2007JJ00";"   104.4";"";"     4.1"
"8506";"A042111";"2008KW01";"   103.7";"     0.1";"     2.4"
